# of rank,Artwork&Artwork,Artist&Artwork,Artist&Artist
1,0.5799271181293654,0.3637412693592469,0.05633161251138779
2,1.1598542362587307,0.7274825387184938,0.11266322502277558
3,1.739781354388096,1.0912238080777406,0.16899483753416336
4,2.3197084725174615,1.4549650774369876,0.22532645004555116
5,2.899635590646827,1.8187063467962346,0.2816580625569389
6,3.479562708776192,2.182447616155481,0.3379896750683267
7,4.0594898269055575,2.546188885514728,0.3943212875797145
8,4.639416945034923,2.909930154873975,0.4506529000911023
9,5.2193440631642884,3.273671424233222,0.5069845126024901
10,5.799271181293654,3.637412693592469,0.5633161251138779
11,6.379198299423019,4.001153962951716,0.6196477376252657
12,6.959125417552384,4.364895232310962,0.6759793501366534
13,7.5390525356817495,4.728636501670209,0.7323109626480413
14,8.118979653811115,5.092377771029456,0.788642575159429
15,8.69890677194048,5.456119040388703,0.8449741876708169
16,9.278833890069846,5.81986030974795,0.9013058001822046
17,9.858761008199211,6.183601579107197,0.9576374126935924
18,10.438688126328577,6.547342848466444,1.0139690252049802
19,11.018615244457942,6.911084117825691,1.070300637716368
20,11.598542362587308,7.274825387184938,1.1266322502277557
21,12.178469480716673,7.638566656544184,1.1829638627391437
22,12.758396598846039,8.002307925903432,1.2392954752505314
23,13.338323716975404,8.36604919526268,1.2956270877619191
24,13.918250835104768,8.729790464621924,1.351958700273307
25,14.498177953234133,9.093531733981171,1.4082903127846946
26,15.078105071363499,9.457273003340418,1.4646219252960826
27,15.658032189492864,9.821014272699665,1.5209535378074703
28,16.23795930762223,10.184755542058912,1.577285150318858
29,16.817886425751595,10.54849681141816,1.6336167628302458
30,17.39781354388096,10.912238080777406,1.6899483753416338
31,17.977740662010326,11.275979350136653,1.7462799878530215
32,18.557667780139692,11.6397206194959,1.8026116003644093
33,19.137594898269057,12.003461888855147,1.858943212875797
34,19.717522016398423,12.367203158214394,1.9152748253871847
35,20.29744913452779,12.730944427573641,1.9716064378985727
36,20.877376252657154,13.094685696932888,2.0279380504099604
