Variable 1,Variable 2,Importance,Group
Artist_Residency-(Netherlands),Artist_Visual_distance_RGB_Neighboring,0.003758060995291804,Artist & Artist
Artist_Residency-(Netherlands),Artist_Visual_distance_HSV_Neighboring,0.0010746202554116028,Artist & Artist
Artist_Residency-(Netherlands),Artist_Visual_distance_CH_Neighboring,0.003534592527806265,Artist & Artist
Artist_Residency-(New Zealand),Artist_Platform_membership_join_year_2011,0.0002835712860615364,Artist & Artist
Artist_Residency-(New Zealand),Artist_Platform_membership_join_year_2013,0.00101135707673322,Artist & Artist
Artist_Residency-(New Zealand),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0013359826398630524,Artist & Artist
Artist_Residency-(Norway),Artist_Platform_membership_join_year_2007,0.000890946141695189,Artist & Artist
Artist_Residency-(Poland),Artist_Platform_membership_join_year_2014,0.0030518243743189,Artist & Artist
Artist_Residency-(Poland),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.002478238293851995,Artist & Artist
Artist_Residency-(Poland),Artist_Platform_membership_join_year_2017,0.0004643190351910008,Artist & Artist
Artist_Residency-(Portugal),Artist_Platform_membership_join_year_2008,0.0008978244301910102,Artist & Artist
Artist_Residency-(Portugal),Artist_Visual_distance_RGB_Neighboring,0.002432937136797546,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Collaborator_count,0.002995411586638825,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Platform_membership_join_year_2008,0.0023699585927483657,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Platform_membership_join_year_2010,0.000887330587466022,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Topic_diversity,0.0042408576820660085,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Inter_project_publication_period,0.0028702343767886855,Artist & Artist
Artist_Residency-(South Africa),Artist_Platform_membership_join_year_2013,0.0011118367983626396,Artist & Artist
Artist_Residency-(South Africa),Artist_Platform_membership_join_year_2012,0.002559936954494921,Artist & Artist
Artist_Residency-(South Africa),Artist_Collaborator_count,0.0016792859871401537,Artist & Artist
Artist_Residency-(South Africa),Artist_Platform_membership_join_year_2011,0.0016282697044063307,Artist & Artist
Artist_Residency-(South Africa),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0019872906479912436,Artist & Artist
Artist_Residency-(South Africa),Artist_Inter_project_publication_period,0.00280722347001441,Artist & Artist
Artist_Residency-(South Korea),Artist_Platform_membership_join_year_2014,0.004560050669259998,Artist & Artist
Artist_Residency-(Spain),Artist_Platform_membership_join_year_2007,0.005705789133800876,Artist & Artist
Artist_Residency-(Spain),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0038873615960868775,Artist & Artist
Artist_Residency-(Switzerland),Artist_Platform_membership_join_year_2010,0.0016260629176437942,Artist & Artist
Artist_Residency-(Switzerland),Artist_Visual_distance_CH_Neighboring,0.0022781882112466894,Artist & Artist
Artist_Residency-(Taiwan Region),Artist_Platform_membership_join_year_2010,0.002675748142014211,Artist & Artist
Artist_Residency-(Taiwan Region),Artist_Platform_membership_join_year_2012,0.0025195696284261103,Artist & Artist
Artist_Residency-(Turkey),Artist_Platform_membership_join_year_2010,0.00196926264851931,Artist & Artist
Artist_Residency-(USA),Artist_Platform_membership_join_year_2007,0.003264808032245277,Artist & Artist
Artist_Residency-(USA),Artist_Topic_diversity,0.00561068604227876,Artist & Artist
Artist_Residency-(USA),Artist_Collaborator_count,0.006110735102524684,Artist & Artist
Artist_Residency-(Ukraine),Artist_Collaborator_count,0.001174195423153893,Artist & Artist
Artist_Residency-(Ukraine),Artist_Platform_membership_join_year_2010,0.0021712990411264345,Artist & Artist
Artist_Residency-(United Arab Emirates),Artist_Platform_membership_join_year_2008,0.000855343629716173,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Inter_project_publication_period,0.005319072600636826,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Topic_diversity,0.0061574412665756605,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Platform_membership_join_year_2015,0.001397391978541578,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Platform_membership_join_year_2009,0.004683929432305557,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Platform_membership_join_year_2010,0.006897862191756755,Artist & Artist
Artist_Topic_diversity,Artist_Curation_status_of_the_last_project,0.0026925256694540008,Artist & Artist
Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,Artist_Collaborator_count,0.008391129464333388,Artist & Artist
Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,Artist_Inter_project_publication_period,0.009771976418905452,Artist & Artist
Artwork_Assigned_creative_field_count,Artist_Residency-(New Zealand),0.000496661380845709,Artist & Artwork
Artwork_Assigned_creative_field_count,Artist_Platform_membership_join_year_2013,0.0005397437644409447,Artist & Artwork
Artwork_Assigned_creative_field_count,Artist_Platform_membership_join_year_2015,0.0018068910510240044,Artist & Artwork
Artwork_Assigned_creative_field_count,Artwork_Creative_fields-(Painting),0.004502360005057727,Artwork & Artwork
Artwork_Assigned_creative_field_count,Artwork_Creative_fields-(Illustration),0.008400659150631724,Artwork & Artwork
Artwork_Assigned_creative_field_count,Artwork_Creative_fields-(Architecture),0.004281170600265879,Artwork & Artwork
Artwork_Assigned_creative_field_count,Artwork_Visual_Features_value_Median,0.0034916943065212485,Artwork & Artwork
Artwork_Assigned_creative_field_count,Artwork_Visual_Features_latent_PCA_embeddings_dim-1,0.005653764470660513,Artwork & Artwork
Artwork_Assigned_creative_field_count,Artist_Residency-(United Kingdom),0.0023839143288325797,Artist & Artwork
Artwork_Assigned_creative_field_count,Artwork_Visual_Features_value_Mean,0.0038339174379558574,Artwork & Artwork
Artwork_Assigned_creative_field_count,Artist_Career_timeline,0.006434523048061441,Artist & Artwork
Artwork_Assigned_creative_field_count,Artwork_Visual_Features_latent_PCA_embeddings_dim-102,0.0021653215134351702,Artwork & Artwork
Artwork_Assigned_creative_field_count,Artist_Residency-(France),0.0017440063835121285,Artist & Artwork
Artwork_Contributor_count,Artist_Curation_status_of_the_last_project,0.0026238857513228757,Artist & Artwork
Artwork_Contributor_count,Artwork_Visual_Features_latent_PCA_embeddings_dim-70,0.0067964692435939925,Artwork & Artwork
Artwork_Contributor_count,Artwork_Visual_Features_latent_PCA_embeddings_dim-90,0.00576133420830735,Artwork & Artwork
Artwork_Contributor_count,Artwork_Creative_fields-(Advertising),0.0010376369250624893,Artwork & Artwork
Artwork_Contributor_count,Artwork_Creative_fields-(Drawing),0.001346228673293849,Artwork & Artwork
Artwork_Contributor_count,Artwork_Creative_fields-(Photography),0.004916031313989619,Artwork & Artwork
Artwork_Contributor_count,Artist_Residency-(Belgium),0.0007017315984376581,Artist & Artwork
Artwork_Contributor_count,Artist_Residency-(Finland),0.00048331860846931616,Artist & Artwork
Artwork_Contributor_count,Artist_Residency-(France),0.0037903239590221143,Artist & Artwork
Artwork_Contributor_count,Artist_Residency-(Italy),0.008604972261191253,Artist & Artwork
Artwork_Contributor_count,Artist_Residency-(Mexico),0.002107184984433785,Artist & Artwork
Artwork_Contributor_count,Artist_Residency-(USA),0.0007115274571360642,Artist & Artwork
Artwork_Contributor_count,Artist_Platform_membership_join_year_2013,0.004824990962939641,Artist & Artwork
Artwork_Contributor_count,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.006675331864442078,Artist & Artwork
Artwork_Contributor_count,Artist_Inter_project_publication_period,0.005771800575442076,Artist & Artwork
Artwork_Creative_fields-(Advertising),Artist_Residency-(Mexico),0.000985055060086297,Artist & Artwork
Artwork_Creative_fields-(Advertising),Artist_Residency-(Poland),0.0028761333838258855,Artist & Artwork
Artwork_Creative_fields-(Advertising),Artwork_Creative_fields-(DigitalArt),0.005236651448229545,Artwork & Artwork
Artwork_Creative_fields-(Advertising),Artist_Residency-(Colombia),0.0004442636970333626,Artist & Artwork
Artwork_Creative_fields-(Animation),Artist_Topic_diversity,0.001676763661335852,Artist & Artwork
Artwork_Creative_fields-(Architecture),Artist_Residency-(Germany),0.0005717755665991028,Artist & Artwork
Artwork_Creative_fields-(Architecture),Artist_Residency-(Spain),0.0027948286754458924,Artist & Artwork
Artwork_Creative_fields-(Architecture),Artist_Platform_membership_join_year_2011,0.002425867169057822,Artist & Artwork
Artwork_Creative_fields-(Architecture),Artist_Topic_diversity,0.0024455126720381924,Artist & Artwork
Artwork_Creative_fields-(Architecture),Artist_Inter_project_publication_period,0.002620882432494269,Artist & Artwork
Artwork_Creative_fields-(Branding),Artist_Residency-(Finland),0.0003963639692056348,Artist & Artwork
Artwork_Creative_fields-(Branding),Artist_Residency-(France),0.0014945847917984532,Artist & Artwork
Artwork_Creative_fields-(Branding),Artist_Residency-(Israel),0.0006411846901580268,Artist & Artwork
Artwork_Creative_fields-(Branding),Artist_Residency-(Mexico),0.000940331677799034,Artist & Artwork
Artwork_Creative_fields-(Branding),Artist_Residency-(South Africa),0.0015679107375808474,Artist & Artwork
Artwork_Creative_fields-(Branding),Artist_Platform_membership_join_year_2008,0.0019408715960486963,Artist & Artwork
Artwork_Creative_fields-(CharacterDesign),Artist_Residency-(United Kingdom),0.004282889605666211,Artist & Artwork
Artwork_Creative_fields-(CharacterDesign),Artist_Residency-(Austria),0.0016404004128396077,Artist & Artwork
Artwork_Creative_fields-(Crafts),Artist_Residency-(Australia),0.0009147387856802673,Artist & Artwork
Artwork_Creative_fields-(Crafts),Artist_Residency-(Belgium),0.0008035926979754588,Artist & Artwork
Artwork_Creative_fields-(Crafts),Artist_Residency-(Taiwan Region),0.0003758885345829838,Artist & Artwork
Artwork_Creative_fields-(CreativeDirection),Artist_Residency-(South Africa),0.0012660477643490443,Artist & Artwork
Artwork_Creative_fields-(DigitalArt),Artist_Residency-(France),0.0018953215531029221,Artist & Artwork
Artwork_Creative_fields-(DigitalArt),Artist_Residency-(South Africa),0.003295368857099948,Artist & Artwork
Artwork_Creative_fields-(Drawing),Artist_Residency-(Russian Federation),0.0021245691221848167,Artist & Artwork
