Variable 1,Variable 2,Importance,Group
Artist_Residency-(Netherlands),Artist_Visual_distance_CH_Neighboring,0.0026981748975290795,Artist & Artist
Artist_Residency-(New Zealand),Artist_Platform_membership_join_year_2013,0.0015472180374542879,Artist & Artist
Artist_Residency-(New Zealand),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0011821452743217037,Artist & Artist
Artist_Residency-(Norway),Artist_Platform_membership_join_year_2007,0.0007977967792321345,Artist & Artist
Artist_Residency-(Poland),Artist_Platform_membership_join_year_2014,0.001969564427964282,Artist & Artist
Artist_Residency-(Poland),Artist_Platform_membership_join_year_2017,0.0005389836731820295,Artist & Artist
Artist_Residency-(Portugal),Artist_Visual_distance_RGB_Neighboring,0.003019402784921336,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Platform_membership_join_year_2008,0.0023286019213267853,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Topic_diversity,0.0023491776720500645,Artist & Artist
Artist_Residency-(South Africa),Artist_Platform_membership_join_year_2011,0.0014312162160236763,Artist & Artist
Artist_Residency-(South Africa),Artist_Platform_membership_join_year_2012,0.0021334228608217683,Artist & Artist
Artist_Residency-(South Africa),Artist_Platform_membership_join_year_2013,0.0006205119292484906,Artist & Artist
Artist_Residency-(South Africa),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.001559756663149695,Artist & Artist
Artist_Residency-(South Africa),Artist_Inter_project_publication_period,0.00296031025084156,Artist & Artist
Artist_Residency-(South Africa),Artist_Collaborator_count,0.0011988173208872842,Artist & Artist
Artist_Residency-(South Korea),Artist_Platform_membership_join_year_2014,0.0028667574486141477,Artist & Artist
Artist_Residency-(South Korea),Artist_Visual_distance_CH_Neighboring,0.002210003984973233,Artist & Artist
Artist_Residency-(South Korea),Artist_Topic_diversity,0.0012533104429852118,Artist & Artist
Artist_Residency-(South Korea),Artist_Inter_project_publication_period,0.0025978958987880043,Artist & Artist
Artist_Residency-(Spain),Artist_Platform_membership_join_year_2007,0.004117094125733623,Artist & Artist
Artist_Residency-(Switzerland),Artist_Platform_membership_join_year_2013,0.0007960080250486315,Artist & Artist
Artist_Residency-(Switzerland),Artist_Visual_distance_CH_Neighboring,0.0009616803737468694,Artist & Artist
Artist_Residency-(Switzerland),Artist_Platform_membership_join_year_2010,0.0007402600689051967,Artist & Artist
Artist_Residency-(Taiwan Region),Artist_Platform_membership_join_year_2010,0.002057233531817848,Artist & Artist
Artist_Residency-(Taiwan Region),Artist_Platform_membership_join_year_2012,0.0022374866289880065,Artist & Artist
Artist_Residency-(Taiwan Region),Artist_Project_publication_year_2013,0.0013433155277860287,Artist & Artist
Artist_Residency-(Taiwan Region),Artist_Topic_diversity,0.0015695450766707053,Artist & Artist
Artist_Residency-(Turkey),Artist_Platform_membership_join_year_2010,0.0014105024699940958,Artist & Artist
Artist_Residency-(Turkey),Artist_Topic_diversity,0.0017223607691246026,Artist & Artist
Artist_Residency-(USA),Artist_Platform_membership_join_year_2007,0.0027918385501429265,Artist & Artist
Artist_Residency-(USA),Artist_Platform_membership_join_year_2017,0.001077986588103357,Artist & Artist
Artist_Residency-(USA),Artist_Topic_diversity,0.005821256755818246,Artist & Artist
Artist_Residency-(USA),Artist_Collaborator_count,0.005058236908451966,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Platform_membership_join_year_2015,0.0009645347480752107,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Platform_membership_join_year_2009,0.0033842675790531525,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Platform_membership_join_year_2010,0.007079739369760467,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Platform_membership_join_year_2011,0.0035712423703833677,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Platform_membership_join_year_2014,0.0015791601541196264,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Topic_diversity,0.004844610712094549,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Inter_project_publication_period,0.0050766242418542355,Artist & Artist
Artist_Topic_diversity,Artist_Curation_status_of_the_last_project,0.0029596190268801497,Artist & Artist
