Variable 1,Variable 2,Importance,Group
Artist_Residency-(Lithuania),Artist_Platform_membership_join_year_2016,0.0011229480842940463,Artist & Artist
Artist_Residency-(Mexico),Artist_Platform_membership_join_year_2008,0.0015315979741180878,Artist & Artist
Artist_Residency-(Mexico),Artist_Platform_membership_join_year_2010,0.00016415246273712638,Artist & Artist
Artist_Residency-(Netherlands),Artist_Visual_distance_CH_Neighboring,0.002561435077051686,Artist & Artist
Artist_Residency-(Netherlands),Artist_Visual_distance_HSV_Neighboring,0.0028025416584682127,Artist & Artist
Artist_Residency-(New Zealand),Artist_Platform_membership_join_year_2013,0.001705319088088605,Artist & Artist
Artist_Residency-(New Zealand),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.00122953601452696,Artist & Artist
Artist_Residency-(Norway),Artist_Platform_membership_join_year_2007,0.0015704616899882018,Artist & Artist
Artist_Residency-(Poland),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.00173161835404481,Artist & Artist
Artist_Residency-(Poland),Artist_Platform_membership_join_year_2014,0.00215828782324431,Artist & Artist
Artist_Residency-(Poland),Artist_Platform_membership_join_year_2017,0.0003297346511414634,Artist & Artist
Artist_Residency-(Portugal),Artist_Visual_distance_RGB_Neighboring,0.0027672570652444075,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Platform_membership_join_year_2008,0.004249980660992969,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Platform_membership_join_year_2010,0.0010201154403177007,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Collaborator_count,0.0031206705385357393,Artist & Artist
Artist_Residency-(Russian Federation),Artist_Topic_diversity,0.0034831806791947987,Artist & Artist
Artist_Residency-(South Africa),Artist_Platform_membership_join_year_2011,0.0012991680731742011,Artist & Artist
Artist_Residency-(South Africa),Artist_Platform_membership_join_year_2012,0.0022896470018792118,Artist & Artist
Artist_Residency-(South Africa),Artist_Platform_membership_join_year_2013,0.0006626000769755541,Artist & Artist
Artist_Residency-(South Africa),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.000991438039809444,Artist & Artist
Artist_Residency-(South Africa),Artist_Inter_project_publication_period,0.0027617438465487878,Artist & Artist
Artist_Residency-(South Africa),Artist_Collaborator_count,0.0014422187735308458,Artist & Artist
Artist_Residency-(South Korea),Artist_Topic_diversity,0.0007001450436491793,Artist & Artist
Artist_Residency-(South Korea),Artist_Platform_membership_join_year_2013,0.0012553735143511484,Artist & Artist
Artist_Residency-(South Korea),Artist_Visual_distance_CH_Neighboring,0.0022292971903915687,Artist & Artist
Artist_Residency-(South Korea),Artist_Platform_membership_join_year_2014,0.002551435326487289,Artist & Artist
Artist_Residency-(Spain),Artist_Platform_membership_join_year_2007,0.005118976742624401,Artist & Artist
Artist_Residency-(Switzerland),Artist_Platform_membership_join_year_2010,0.0009609018626664461,Artist & Artist
Artist_Residency-(Switzerland),Artist_Platform_membership_join_year_2013,0.0009831448154809276,Artist & Artist
Artist_Residency-(Switzerland),Artist_Visual_distance_CH_Neighboring,0.0009332801910352743,Artist & Artist
Artist_Residency-(Taiwan Region),Artist_Platform_membership_join_year_2010,0.002388117007082272,Artist & Artist
Artist_Residency-(Taiwan Region),Artist_Platform_membership_join_year_2012,0.00252177606968149,Artist & Artist
Artist_Residency-(Taiwan Region),Artist_Topic_diversity,0.0021758664510331633,Artist & Artist
Artist_Residency-(Turkey),Artist_Platform_membership_join_year_2010,0.001198996084735293,Artist & Artist
Artist_Residency-(Turkey),Artist_Topic_diversity,0.0017148934468496622,Artist & Artist
Artist_Residency-(USA),Artist_Platform_membership_join_year_2007,0.003142525296074318,Artist & Artist
Artist_Residency-(USA),Artist_Platform_membership_join_year_2017,0.0008324522019739579,Artist & Artist
Artist_Residency-(USA),Artist_Topic_diversity,0.0065669230480887505,Artist & Artist
Artist_Residency-(USA),Artist_Collaborator_count,0.005118016804542318,Artist & Artist
Artist_Residency-(United Arab Emirates),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.001384682430971556,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Inter_project_publication_period,0.005305136933692386,Artist & Artist
Artist_Residency-(United Kingdom),Artist_Topic_diversity,0.004741504871642846,Artist & Artist
